gene_id	log2FoldChange	pvalue	padj	A	B	C	D	E	F	A.readCount	B.readCount	C.readCount	D.readCount	E.readCount	F.readCount	A.fpkm	B.fpkm	C.fpkm	D.fpkm	E.fpkm	F.fpkm
Ugp2	-0.469304116798462	0.182398799340635	0.591927393019571	3038.70557803403	1972.69448440391	4018.28573873838	1843.09742443779	2032.76353483727	2646.13822158715	3752	1831	3898	1432	2384	2677	96.828604510921	53.2689943650458	108.402301458727	46.9317050503243	60.3339897891601	72.3180815352136
Ugt1a1	-0.529497062700279	0.249632537820969	0.65526673831554	1704.00760559264	950.254798058026	3350.2895461518	1570.23663255175	1196.29498296002	1393.74482347325	2104	882	3250	1220	1403	1410	70.0702541099311	33.1132534104921	116.634529750577	51.5976900242672	45.8205796860911	49.1546662732746
Ugt1a10	0.796392057211304	0.548085144631574	0.848511718495075	5.66922682469035	4.30954556942416	2.06171664378572	0	12.7900390195298	7.90777204807517	7	4	2	0	15	8	0.231045719718872	0.14883504024829	0.0711353885000094	0	0.485518851991467	0.276406057551138
Ugt1a2	-2.06075673782785	0.374021590093781	1	0.809889546384335	0	7.21600825325003	0	0.852669267968652	0.988471506009397	1	0	7	0	1	1	0.0334991661852522	0	0.252689887507496	0	0.0328510268014127	0.0350664401370847
Ugt1a5	-2.03892380605072	0.00491418183024995	0.110919713794617	173.316362926248	90.5004569579073	814.378074295361	105.54049497479	107.43632776405	49.4235753004698	214	84	790	82	126	50	7.19485450622642	3.18370514601018	28.6214188191731	3.5011004123831	4.15426062301332	1.75968904092361
Ugt1a6a	0.090094304113751	0.982384636147214	1	0.809889546384335	0	0	0	0.852669267968652	0	1	0	0	0	1	0	0.030964321252338	0	0	0	0.0303652258603359	0
Ugt1a6b	-1.06652098168078	0.015216750529545	0.204457793478795	427.621680490929	486.97864934493	240.189989001037	102.96633656077	219.988671135912	227.348446382161	528	452	233	80	258	230	16.417797900081	15.8439961485472	7.80715368346073	3.15902775223934	7.86711755942244	7.48628749072698
Ugt1a7c	-1.71494182755433	0.140668224981872	0.535142640737483	4.85933727830601	14.0060231006285	5.15429160946431	3.86123762102889	2.55800780390595	0.988471506009397	6	13	5	3	3	1	0.105382959121071	0.257399560951098	0.0946335142245797	0.0669149049012993	0.0516720087203629	0.0183855582506745
Ugt1a9	0.0510667939765817	0.968739641448049	0.993924426026705	640.622631190009	122.822048728588	73.1909408543932	27.0286633472022	586.636456362432	253.048705538406	791	114	71	21	688	256	26.7519293335862	4.34639094248363	2.58757411812226	0.901945697617103	22.8182332134481	9.06308958019731
Ugt2a3	-0.619149031708528	0.103386440032956	0.471278608902044	2406.99173185424	1171.11900849101	1963.7851032059	1126.19430613343	902.976754778802	1579.57746660302	2972	1087	1905	875	1059	1598	103.980209223704	42.8722954127015	71.8212048813439	38.8769697248751	36.3339649755035	58.5243149885047
Ugt2b1	1.04124469735979	0.0517206061657596	0.355646401346709	4147.44436703418	1547.12685942327	871.075281999468	4406.95920480097	3633.22375081442	5474.15520028004	5121	1436	845	3424	4261	5538	147.413660165826	46.5996552988191	26.2117180268068	125.169691305752	120.284436812675	166.875887079073
Ugt2b34	-0.54948486999535	0.398800774958524	0.771264491349129	10787.7287578393	4160.86624727902	4664.6339065652	1415.78712771059	2700.40357165672	9284.71285594626	13320	3862	4525	1100	3167	9393	228.795886763008	74.7827734627135	83.7564759239269	23.9949110517669	53.3466315762624	168.890799779936
Ugt2b35	-0.362583619836327	0.553896378290268	0.85057124450831	5551.79284046462	1843.40811732118	2401.89989001037	1162.2325239297	1464.03313310217	4993.75804835947	6855	1711	2330	903	1717	5052	151.154191683831	42.5312411188349	55.3636203453512	25.2861644372142	37.1276945468457	116.609453548947
Ugt2b36	-0.403339217163232	0.39533933509493	0.769399421913956	5885.46733357496	2807.66893847984	4695.55965622199	2310.30717658229	2108.65109968648	5704.46906118023	7267	2606	4555	1795	2473	5771	285.086012880006	115.249877357856	192.559502839451	89.4267966761933	95.139270602672	236.989719255719
Ugt2b37	-0.0493392284259181	0.964783455367249	0.992188486393152	53.4527100613661	19.3929550624087	0	18.0191088981348	17.053385359373	35.5849742163383	66	18	0	14	20	36	2.58099225171547	0.793524940035498	0	0.695269650750248	0.766986486356108	1.47367918117814
Ugt2b38	0.371056636467137	0.670253765749984	0.901292896234178	30.7758027626047	61.4110243642942	15.4628748283929	59.205643522443	5.11601560781191	75.1238344567141	38	57	15	46	6	76	1.48838336570731	2.51681548493896	0.633108719436889	2.28808162921979	0.230460984424929	3.11603613689855
Ugt2b5	-0.206694357789308	0.655907687741255	0.896226151512538	8705.50273408522	4243.82499949044	6991.28113907739	3539.46781927648	4184.90076719014	9554.56557708683	10749	3939	6782	2750	4908	9666	428.494343394071	177.014287623695	291.333643591779	139.216975854708	191.865343501554	403.349481763804
Ugt3a1	0.103042649443823	0.880442435277572	0.968733430932925	265.643771214062	205.780800940003	51.5429160946431	87.5213860766549	113.405012639831	360.79209969343	328	191	50	68	133	365	10.8261422953986	7.10687317185585	1.77838471250023	2.85030458554322	4.30493382099101	12.6110263757707
Ugt3a2	-0.106362282451126	0.765752962667811	0.934677535787386	2302.51598037066	3061.93212707586	1923.58162865208	1702.80579087374	1908.27382171384	3158.16646170002	2843	2842	1866	1323	2238	3195	90.4128399512192	101.887905727928	63.9470796066216	53.4312786175318	69.7956385303704	106.360849189431
Ugt8a	-3.11999898438235	0.0407406523439073	0.318443323405766	6.47911637107468	5.3869319617802	14.4320165065001	0	0	2.96541451802819	8	5	14	0	0	3	0.142299051749457	0.100259915441031	0.268346465551909	0	0	0.0558587169618834
Uhmk1	-0.486200961182142	0.0915050807971648	0.447939860537487	1087.68166079416	1125.86878001206	1146.31445394486	592.05643522443	843.289906020996	961.782775347143	1343	1045	1112	460	989	973	12.2789186017777	10.7707441266953	10.9558157458926	5.34102254148206	8.86738062400769	9.31225007606847
Uhrf1	-3.31322865070805	0.11376766750668	0.48893078721174	555.584228819654	62.4884107566503	4.12343328757145	0	17.053385359373	45.4696892764322	686	58	4	0	20	46	13.8559384550904	1.32064208879162	0.0870618008148465	0	0.39614736982778	0.97258449974975
Uhrf1bp1	0.174535755083246	0.586271379039865	0.865852230804598	374.168970429563	412.638988272363	521.614310877788	619.085098571632	482.610805670257	375.619172283571	462	383	506	481	566	380	3.96326097674818	3.70386185462918	4.67753490663508	5.24008393401988	4.76148124461254	3.41233746518135
Uhrf1bp1l	-0.345918095958942	0.407267284983929	0.774483709104273	941.901542444982	862.986500277187	1551.44177444876	1339.84945449703	636.091273904614	666.229795050333	1163	801	1505	1041	746	674	13.3591069222385	10.3723111850205	18.6290211499691	15.185563496769	8.40333137599424	8.1042959091882
Uhrf2	-0.771558868247577	0.0858424708722232	0.431720961396213	679.497329416457	562.395696809852	308.226638245966	169.894455325271	410.98658716089	326.195596983101	839	522	299	132	482	330	14.7781033886949	10.3650774926016	5.675233736791	2.95265797256273	8.32566110923165	6.08454856533201
Uimc1	0.387593030962434	0.342881250517297	0.734325825528591	240.537195276148	223.0189832177	281.424321876751	510.970445182823	231.073371619505	234.267746924227	297	207	273	397	271	237	7.4822438644119	5.87883221731741	7.41129126186526	12.7013062500686	6.69513982649566	6.25002044112698
Ulk1	-0.170202959718175	0.598415521804477	0.870630480651957	744.288493127204	931.939229387974	1318.46779370097	864.917227110472	1027.46646790223	768.042360169301	919	865	1279	672	1205	777	13.012283935062	13.8070035951226	19.5148127781068	12.0834170309705	16.7316980330334	11.5163994712644
Ulk2	-0.333228325497796	0.413405816806063	0.778159733958949	767.77528997235	909.314115148497	712.323100427968	396.420395758966	497.106183225724	1002.31010709353	948	844	691	308	583	1014	12.2262215394292	12.2707661843847	9.60324028814805	5.04448821303523	7.37339380295479	13.6892470365832
Ulk3	0.361839953321339	0.250055172207282	0.65526673831554	125.532879689572	122.822048728588	116.486990373893	190.487722637425	137.279752142953	142.339896865353	155	114	113	148	161	144	4.06239623054382	3.36822228026863	3.19142652737516	4.92600410325305	4.13800879742593	3.95067002003028
Ulk4	-0.162154252224146	0.918199089730894	1	1.61977909276867	2.15477278471208	2.06171664378572	2.57415841401926	1.7053385359373	0.988471506009397	2	2	2	2	2	1	0.0340536351428012	0.0383891758985245	0.0366960486882807	0.043246000608242	0.0333947679346774	0.0178234250903665
Umad1	-0.650401271116149	0.0830726400423871	0.42493549546112	157.928461544945	136.828071829217	183.492781296929	72.0764355925393	95.498958012489	136.409067829297	195	127	178	56	112	138	3.37295609643637	2.476424594248	3.31781299618586	1.23011743906676	1.89980510716661	2.49869268606889
Umod	-0.94539593863787	0.814370779095401	1	0	2.15477278471208	0	0	0	0.988471506009397	0	2	0	0	0	1	0	0.0635679159339861	0	0	0	0.0295134751210865
Umodl1	-1.90715717630461	0.635751923500264	1	0	2.15477278471208	0	0	0	0	0	2	0	0	0	0	0	0.0331006769392629	0	0	0	0
Umps	0.638039832412612	0.133823478914497	0.521957269668682	464.876599624608	310.287280998539	207.202522700465	325.631039373436	669.345375355391	533.774613245074	574	288	201	253	785	540	12.2027154977124	6.90211819254757	4.60464841713522	6.83042278550528	16.3654971017422	12.0169992931317
Unc119	0.691349108393818	0.309538864550648	0.709509929780906	150.639455627486	63.5657971490063	209.264239344251	481.367623421602	104.025650692175	99.8356221069491	186	59	203	374	122	101	9.25211423574225	3.30845600885034	10.8812779698409	23.6255602382636	5.95117640796955	5.25904755772499
Unc119b	0.112192504677339	0.689065150091728	0.909074912070249	774.254406343424	732.622746802107	748.403141694218	1009.07009829555	650.586651460081	779.904018241414	956	680	726	784	763	789	19.3516598940766	15.5172427313249	15.8362655592319	20.1538891055409	15.1460651152762	16.7184117037172
